caller_number,reports,average_risk,last_seen,total_victims,reputation_score
+917800000014,3,88.0,2026-07-01T05:44:14.617331+00:00,3,40
+918591775909,0,12.0,2026-07-01T05:44:14.617334+00:00,0,100
+918081869854,1,88.0,2026-07-01T05:44:14.617337+00:00,1,80
+917800000046,3,88.0,2026-07-01T05:44:14.617340+00:00,3,40
+917800000016,3,88.0,2026-07-01T05:44:14.617343+00:00,3,40
+919988351394,0,12.0,2026-07-01T05:44:14.617345+00:00,0,100
+919514677267,1,88.0,2026-07-01T05:44:14.617348+00:00,1,80
+917800000004,3,88.0,2026-07-01T05:44:14.617351+00:00,3,40
+919145918233,0,12.0,2026-07-01T05:44:14.617354+00:00,0,100
+917800000080,3,88.0,2026-07-01T05:44:14.617356+00:00,3,40
+917783027596,1,88.0,2026-07-01T05:44:14.617359+00:00,1,80
+917800000013,3,88.0,2026-07-01T05:44:14.617362+00:00,3,40
+917800000018,3,88.0,2026-07-01T05:44:14.617365+00:00,3,40
+919600476523,1,88.0,2026-07-01T05:44:14.617368+00:00,1,80
+917800000049,3,88.0,2026-07-01T05:44:14.617371+00:00,3,40
+917800000071,3,88.0,2026-07-01T05:44:14.617374+00:00,3,40
+917800000068,3,88.0,2026-07-01T05:44:14.617377+00:00,3,40
+917800000081,3,88.0,2026-07-01T05:44:14.617380+00:00,3,40
+917800000067,3,88.0,2026-07-01T05:44:14.617383+00:00,3,40
+919242134357,0,12.0,2026-07-01T05:44:14.617385+00:00,0,100
+919332000399,0,12.0,2026-07-01T05:44:14.617388+00:00,0,100
+918264950866,1,88.0,2026-07-01T05:44:14.617391+00:00,1,80
+916295406143,0,12.0,2026-07-01T05:44:14.617393+00:00,0,100
+918008601611,1,88.0,2026-07-01T05:44:14.617396+00:00,1,80
+916666878362,0,12.0,2026-07-01T05:44:14.617398+00:00,0,100
+916033525627,0,12.0,2026-07-01T05:44:14.617401+00:00,0,100
+917093565956,1,88.0,2026-07-01T05:44:14.617404+00:00,1,80
+917800000040,3,88.0,2026-07-01T05:44:14.617406+00:00,3,40
+918285865386,0,12.0,2026-07-01T05:44:14.617411+00:00,0,100
+917800000066,3,88.0,2026-07-01T05:44:14.617413+00:00,3,40
+919008900698,1,88.0,2026-07-01T05:44:14.617416+00:00,1,80
+917800000050,3,88.0,2026-07-01T05:44:14.617419+00:00,3,40
+917800000021,3,88.0,2026-07-01T05:44:14.617422+00:00,3,40
+916313031036,0,12.0,2026-07-01T05:44:14.617426+00:00,0,100
+916410355732,1,88.0,2026-07-01T05:44:14.617428+00:00,1,80
+917800000029,3,88.0,2026-07-01T05:44:14.617431+00:00,3,40
+916849166811,0,12.0,2026-07-01T05:44:14.617434+00:00,0,100
+918612067113,0,12.0,2026-07-01T05:44:14.617436+00:00,0,100
+916040219900,0,12.0,2026-07-01T05:44:14.617439+00:00,0,100
+919088713188,1,88.0,2026-07-01T05:44:14.617442+00:00,1,80
+917800000024,3,88.0,2026-07-01T05:44:14.617445+00:00,3,40
+917241216697,0,12.0,2026-07-01T05:44:14.617448+00:00,0,100
+916980304535,0,12.0,2026-07-01T05:44:14.617450+00:00,0,100
+917849004434,1,88.0,2026-07-01T05:44:14.617453+00:00,1,80
+917800000001,3,88.0,2026-07-01T05:44:14.617456+00:00,3,40
+917588341810,0,12.0,2026-07-01T05:44:14.617459+00:00,0,100
+917800000078,3,88.0,2026-07-01T05:44:14.617461+00:00,3,40
+917769939475,1,88.0,2026-07-01T05:44:14.617464+00:00,1,80
+917800000011,3,88.0,2026-07-01T05:44:14.617468+00:00,3,40
+916006811782,0,12.0,2026-07-01T05:44:14.617470+00:00,0,100
+917800000002,3,88.0,2026-07-01T05:44:14.617473+00:00,3,40
+917800000070,3,88.0,2026-07-01T05:44:14.617476+00:00,3,40
+917006453100,0,12.0,2026-07-01T05:44:14.617479+00:00,0,100
+917800000048,3,88.0,2026-07-01T05:44:14.617482+00:00,3,40
+917800000097,3,88.0,2026-07-01T05:44:14.617485+00:00,3,40
+916903105146,0,12.0,2026-07-01T05:44:14.617488+00:00,0,100
+918261577139,1,88.0,2026-07-01T05:44:14.617490+00:00,1,80
+917800000056,3,88.0,2026-07-01T05:44:14.617493+00:00,3,40
+917800000036,3,88.0,2026-07-01T05:44:14.617497+00:00,3,40
+919787389207,0,12.0,2026-07-01T05:44:14.617500+00:00,0,100
+917800000085,3,88.0,2026-07-01T05:44:14.617504+00:00,3,40
+917800000054,3,88.0,2026-07-01T05:44:14.617507+00:00,3,40
+918364688202,1,88.0,2026-07-01T05:44:14.617509+00:00,1,80
+916185498704,1,88.0,2026-07-01T05:44:14.617512+00:00,1,80
+917401184248,1,88.0,2026-07-01T05:44:14.617515+00:00,1,80
+919616613766,0,12.0,2026-07-01T05:44:14.617517+00:00,0,100
+917899275670,0,12.0,2026-07-01T05:44:14.617520+00:00,0,100
+919472195899,1,88.0,2026-07-01T05:44:14.617522+00:00,1,80
+919617637577,0,12.0,2026-07-01T05:44:14.617525+00:00,0,100
+919542498516,0,12.0,2026-07-01T05:44:14.617528+00:00,0,100
+916215030249,1,88.0,2026-07-01T05:44:14.617530+00:00,1,80
+917927827469,0,12.0,2026-07-01T05:44:14.617534+00:00,0,100
+917800000060,3,88.0,2026-07-01T05:44:14.617537+00:00,3,40
+917800000017,3,88.0,2026-07-01T05:44:14.617540+00:00,3,40
+917639487195,1,88.0,2026-07-01T05:44:14.617542+00:00,1,80
+919195934978,0,12.0,2026-07-01T05:44:14.617545+00:00,0,100
+917800000027,3,88.0,2026-07-01T05:44:14.617548+00:00,3,40
+916560939565,1,88.0,2026-07-01T05:44:14.617550+00:00,1,80
+917487821665,1,88.0,2026-07-01T05:44:14.617553+00:00,1,80
+917800000096,3,88.0,2026-07-01T05:44:14.617556+00:00,3,40
+918058000171,1,88.0,2026-07-01T05:44:14.617558+00:00,1,80
+919217272519,1,88.0,2026-07-01T05:44:14.617562+00:00,1,80
+919847301057,1,88.0,2026-07-01T05:44:14.617564+00:00,1,80
+917800000037,3,88.0,2026-07-01T05:44:14.617567+00:00,3,40
+916079785399,0,12.0,2026-07-01T05:44:14.617570+00:00,0,100
+916587622626,1,88.0,2026-07-01T05:44:14.617572+00:00,1,80
+916207879615,1,88.0,2026-07-01T05:44:14.617574+00:00,1,80
+916520668013,1,88.0,2026-07-01T05:44:14.617577+00:00,1,80
+917800000058,3,88.0,2026-07-01T05:44:14.617580+00:00,3,40
+919534760434,0,12.0,2026-07-01T05:44:14.617582+00:00,0,100
+916756239043,0,12.0,2026-07-01T05:44:14.617585+00:00,0,100
+917864094763,1,88.0,2026-07-01T05:44:14.617587+00:00,1,80
+917265640642,1,88.0,2026-07-01T05:44:14.617590+00:00,1,80
+919606861465,0,12.0,2026-07-01T05:44:14.617592+00:00,0,100
+919307311307,0,12.0,2026-07-01T05:44:14.617595+00:00,0,100
+917224915414,0,12.0,2026-07-01T05:44:14.617597+00:00,0,100
+916911334077,1,88.0,2026-07-01T05:44:14.617600+00:00,1,80
+919077485152,1,88.0,2026-07-01T05:44:14.617602+00:00,1,80
+919728567877,0,12.0,2026-07-01T05:44:14.617605+00:00,0,100
+917800000007,3,88.0,2026-07-01T05:44:14.617607+00:00,3,40
+916170070162,1,88.0,2026-07-01T05:44:14.617610+00:00,1,80
+917512334379,1,88.0,2026-07-01T05:44:14.617612+00:00,1,80
+917800000012,3,88.0,2026-07-01T05:44:14.617615+00:00,3,40
+918671687344,1,88.0,2026-07-01T05:44:14.617618+00:00,1,80
+917465123220,0,12.0,2026-07-01T05:44:14.617620+00:00,0,100
+916906055196,0,12.0,2026-07-01T05:44:14.617623+00:00,0,100
+918365784255,0,12.0,2026-07-01T05:44:14.617625+00:00,0,100
+917800000028,3,88.0,2026-07-01T05:44:14.617628+00:00,3,40
+917800000044,3,88.0,2026-07-01T05:44:14.617631+00:00,3,40
+917800000015,3,88.0,2026-07-01T05:44:14.617633+00:00,3,40
+917648063960,0,12.0,2026-07-01T05:44:14.617636+00:00,0,100
+919268071324,1,88.0,2026-07-01T05:44:14.617639+00:00,1,80
+917898695632,1,88.0,2026-07-01T05:44:14.617641+00:00,1,80
+918684002780,1,88.0,2026-07-01T05:44:14.617644+00:00,1,80
+917503818344,1,88.0,2026-07-01T05:44:14.617646+00:00,1,80
+918413185929,0,12.0,2026-07-01T05:44:14.617648+00:00,0,100
+918638213908,0,12.0,2026-07-01T05:44:14.617651+00:00,0,100
+916926186470,1,88.0,2026-07-01T05:44:14.617653+00:00,1,80
+916895298723,1,88.0,2026-07-01T05:44:14.617656+00:00,1,80
+917568772694,1,88.0,2026-07-01T05:44:14.617658+00:00,1,80
+917800000098,3,88.0,2026-07-01T05:44:14.617661+00:00,3,40
+917760852133,1,88.0,2026-07-01T05:44:14.617664+00:00,1,80
+918475928586,0,12.0,2026-07-01T05:44:14.617666+00:00,0,100
+919922711301,0,12.0,2026-07-01T05:44:14.617669+00:00,0,100
+916109321454,0,12.0,2026-07-01T05:44:14.617671+00:00,0,100
+917467832062,0,12.0,2026-07-01T05:44:14.617674+00:00,0,100
+917491889147,1,88.0,2026-07-01T05:44:14.617677+00:00,1,80
+917197698233,1,88.0,2026-07-01T05:44:14.617679+00:00,1,80
+917095555483,1,88.0,2026-07-01T05:44:14.617682+00:00,1,80
+917800000095,3,88.0,2026-07-01T05:44:14.617684+00:00,3,40
+917800000023,3,88.0,2026-07-01T05:44:14.617687+00:00,3,40
+918258730754,1,88.0,2026-07-01T05:44:14.617690+00:00,1,80
+917338069731,0,12.0,2026-07-01T05:44:14.617692+00:00,0,100
+917871461199,1,88.0,2026-07-01T05:44:14.617695+00:00,1,80
+918345773692,0,12.0,2026-07-01T05:44:14.617697+00:00,0,100
+917090989456,1,88.0,2026-07-01T05:44:14.617700+00:00,1,80
+916782060606,1,88.0,2026-07-01T05:44:14.617702+00:00,1,80
+919300476457,0,12.0,2026-07-01T05:44:14.617705+00:00,0,100
+916787556218,1,88.0,2026-07-01T05:44:14.617707+00:00,1,80
+919941030227,1,88.0,2026-07-01T05:44:14.617709+00:00,1,80
+917376215613,0,12.0,2026-07-01T05:44:14.617712+00:00,0,100
+916747070349,0,12.0,2026-07-01T05:44:14.617714+00:00,0,100
+918383083224,0,12.0,2026-07-01T05:44:14.617717+00:00,0,100
+919082278058,0,12.0,2026-07-01T05:44:14.617719+00:00,0,100
+917170336172,1,88.0,2026-07-01T05:44:14.617722+00:00,1,80
+916303957965,1,88.0,2026-07-01T05:44:14.617724+00:00,1,80
+916974366589,0,12.0,2026-07-01T05:44:14.617726+00:00,0,100
+917237708376,1,88.0,2026-07-01T05:44:14.617729+00:00,1,80
+918792767167,0,12.0,2026-07-01T05:44:14.617731+00:00,0,100
+916181163397,1,88.0,2026-07-01T05:44:14.617735+00:00,1,80
+919218214673,1,88.0,2026-07-01T05:44:14.617737+00:00,1,80
+917800000086,3,88.0,2026-07-01T05:44:14.617740+00:00,3,40
+916984174957,0,12.0,2026-07-01T05:44:14.617743+00:00,0,100
+918908930995,0,12.0,2026-07-01T05:44:14.617745+00:00,0,100
+918195398714,1,88.0,2026-07-01T05:44:14.617748+00:00,1,80
+919450065048,0,12.0,2026-07-01T05:44:14.617750+00:00,0,100
+918720351968,0,12.0,2026-07-01T05:44:14.617752+00:00,0,100
+918876684159,1,88.0,2026-07-01T05:44:14.617755+00:00,1,80
+916207579155,1,88.0,2026-07-01T05:44:14.617757+00:00,1,80
+917096696978,0,12.0,2026-07-01T05:44:14.617760+00:00,0,100
+916299108122,1,88.0,2026-07-01T05:44:14.617763+00:00,1,80
+916492694376,0,12.0,2026-07-01T05:44:14.617766+00:00,0,100
+917888755502,1,88.0,2026-07-01T05:44:14.617768+00:00,1,80
+916302564353,0,12.0,2026-07-01T05:44:14.617770+00:00,0,100
+916337469481,1,88.0,2026-07-01T05:44:14.617773+00:00,1,80
+918566376592,0,12.0,2026-07-01T05:44:14.617775+00:00,0,100
+919467513310,0,12.0,2026-07-01T05:44:14.617778+00:00,0,100
+918647936427,0,12.0,2026-07-01T05:44:14.617780+00:00,0,100
+917800000062,3,88.0,2026-07-01T05:44:14.617783+00:00,3,40
+919148581513,1,88.0,2026-07-01T05:44:14.617785+00:00,1,80
+919572806703,0,12.0,2026-07-01T05:44:14.617788+00:00,0,100
+918935004100,0,12.0,2026-07-01T05:44:14.617790+00:00,0,100
+918289747124,1,88.0,2026-07-01T05:44:14.617793+00:00,1,80
+917932426665,1,88.0,2026-07-01T05:44:14.617795+00:00,1,80
+918247826935,0,12.0,2026-07-01T05:44:14.617798+00:00,0,100
+918544400622,0,12.0,2026-07-01T05:44:14.617800+00:00,0,100
+917258871719,1,88.0,2026-07-01T05:44:14.617803+00:00,1,80
+918979003302,1,88.0,2026-07-01T05:44:14.617805+00:00,1,80
+917800000006,3,88.0,2026-07-01T05:44:14.617808+00:00,3,40
+919972971744,1,88.0,2026-07-01T05:44:14.617810+00:00,1,80
+918225103722,1,88.0,2026-07-01T05:44:14.617813+00:00,1,80
+917800000082,3,88.0,2026-07-01T05:44:14.617815+00:00,3,40
+917798333443,1,88.0,2026-07-01T05:44:14.617818+00:00,1,80
+919487339243,0,12.0,2026-07-01T05:44:14.617820+00:00,0,100
+917800000069,3,88.0,2026-07-01T05:44:14.617823+00:00,3,40
+918536884741,0,12.0,2026-07-01T05:44:14.617825+00:00,0,100
+916871761940,1,88.0,2026-07-01T05:44:14.617828+00:00,1,80
+917581441655,0,12.0,2026-07-01T05:44:14.617830+00:00,0,100
+919328355913,0,12.0,2026-07-01T05:44:14.617833+00:00,0,100
+917800000000,3,88.0,2026-07-01T05:44:14.617835+00:00,3,40
+918267806922,0,12.0,2026-07-01T05:44:14.617838+00:00,0,100
+916946202268,1,88.0,2026-07-01T05:44:14.617840+00:00,1,80
+919591039195,0,12.0,2026-07-01T05:44:14.617843+00:00,0,100
+919395658475,1,88.0,2026-07-01T05:44:14.617845+00:00,1,80
+917800000090,3,88.0,2026-07-01T05:44:14.617847+00:00,3,40
+916292735094,1,88.0,2026-07-01T05:44:14.617850+00:00,1,80
+917033115129,1,88.0,2026-07-01T05:44:14.617852+00:00,1,80
+916013055178,1,88.0,2026-07-01T05:44:14.617855+00:00,1,80
+919577740539,0,12.0,2026-07-01T05:44:14.617857+00:00,0,100
+919263794107,1,88.0,2026-07-01T05:44:14.617859+00:00,1,80
+917471104859,1,88.0,2026-07-01T05:44:14.617862+00:00,1,80
+919803411678,1,88.0,2026-07-01T05:44:14.617864+00:00,1,80
+917318702886,1,88.0,2026-07-01T05:44:14.617867+00:00,1,80
+917800000074,3,88.0,2026-07-01T05:44:14.617869+00:00,3,40
+917800000051,3,88.0,2026-07-01T05:44:14.617872+00:00,3,40
+918502573841,1,88.0,2026-07-01T05:44:14.617875+00:00,1,80
+916995201087,1,88.0,2026-07-01T05:44:14.617877+00:00,1,80
+918215202603,1,88.0,2026-07-01T05:44:14.617879+00:00,1,80
+918595397464,0,12.0,2026-07-01T05:44:14.617882+00:00,0,100
+916254151354,1,88.0,2026-07-01T05:44:14.617884+00:00,1,80
+916532553139,1,88.0,2026-07-01T05:44:14.617886+00:00,1,80
+918167786923,0,12.0,2026-07-01T05:44:14.617889+00:00,0,100
+917286171727,0,12.0,2026-07-01T05:44:14.617891+00:00,0,100
+918180126063,0,12.0,2026-07-01T05:44:14.617894+00:00,0,100
+916685277587,1,88.0,2026-07-01T05:44:14.617896+00:00,1,80
+917800000076,3,88.0,2026-07-01T05:44:14.617899+00:00,3,40
+918029055116,0,12.0,2026-07-01T05:44:14.617901+00:00,0,100
+917976373037,1,88.0,2026-07-01T05:44:14.617904+00:00,1,80
+919552743700,0,12.0,2026-07-01T05:44:14.617906+00:00,0,100
+916718413727,1,88.0,2026-07-01T05:44:14.617909+00:00,1,80
+916874798849,1,88.0,2026-07-01T05:44:14.617911+00:00,1,80
+919281457202,0,12.0,2026-07-01T05:44:14.617913+00:00,0,100
+916007742112,1,88.0,2026-07-01T05:44:14.617916+00:00,1,80
+917800000083,3,88.0,2026-07-01T05:44:14.617919+00:00,3,40
+919382955210,0,12.0,2026-07-01T05:44:14.617921+00:00,0,100
+916913048601,0,12.0,2026-07-01T05:44:14.617924+00:00,0,100
+917473056147,1,88.0,2026-07-01T05:44:14.617926+00:00,1,80
+919954580356,0,12.0,2026-07-01T05:44:14.617929+00:00,0,100
+918645850190,1,88.0,2026-07-01T05:44:14.617932+00:00,1,80
+918448316660,1,88.0,2026-07-01T05:44:14.617935+00:00,1,80
+917699200476,0,12.0,2026-07-01T05:44:14.617937+00:00,0,100
+916322349403,1,88.0,2026-07-01T05:44:14.617940+00:00,1,80
+918089866258,1,88.0,2026-07-01T05:44:14.617942+00:00,1,80
+919313015117,1,88.0,2026-07-01T05:44:14.617945+00:00,1,80
+918295019562,0,12.0,2026-07-01T05:44:14.617947+00:00,0,100
+918877216792,1,88.0,2026-07-01T05:44:14.617949+00:00,1,80
+917197701750,0,12.0,2026-07-01T05:44:14.617952+00:00,0,100
+917161427947,1,88.0,2026-07-01T05:44:14.617954+00:00,1,80
+916777828187,1,88.0,2026-07-01T05:44:14.617957+00:00,1,80
+916895628078,0,12.0,2026-07-01T05:44:14.617960+00:00,0,100
+917118583561,0,12.0,2026-07-01T05:44:14.617962+00:00,0,100
+917800000084,3,88.0,2026-07-01T05:44:14.617965+00:00,3,40
+917417408768,1,88.0,2026-07-01T05:44:14.617967+00:00,1,80
+919201596889,0,12.0,2026-07-01T05:44:14.617970+00:00,0,100
+917800000065,3,88.0,2026-07-01T05:44:14.617973+00:00,3,40
+919468953047,1,88.0,2026-07-01T05:44:14.617975+00:00,1,80
+918062848164,0,12.0,2026-07-01T05:44:14.617978+00:00,0,100
+917800000035,3,88.0,2026-07-01T05:44:14.617981+00:00,3,40
+917421878385,0,12.0,2026-07-01T05:44:14.617983+00:00,0,100
+916221124185,0,12.0,2026-07-01T05:44:14.617986+00:00,0,100
+917898650109,0,12.0,2026-07-01T05:44:14.617989+00:00,0,100
+918876399505,0,12.0,2026-07-01T05:44:14.617991+00:00,0,100
+919549093013,1,88.0,2026-07-01T05:44:14.617994+00:00,1,80
+918122843866,0,12.0,2026-07-01T05:44:14.617996+00:00,0,100
+917495162182,0,12.0,2026-07-01T05:44:14.617999+00:00,0,100
+917800000063,3,88.0,2026-07-01T05:44:14.618002+00:00,3,40
+919938223420,1,88.0,2026-07-01T05:44:14.618004+00:00,1,80
+919651920351,1,88.0,2026-07-01T05:44:14.618007+00:00,1,80
+918280905950,0,12.0,2026-07-01T05:44:14.618009+00:00,0,100
+917291032449,1,88.0,2026-07-01T05:44:14.618012+00:00,1,80
+919291562363,1,88.0,2026-07-01T05:44:14.618014+00:00,1,80
+917944490415,0,12.0,2026-07-01T05:44:14.618017+00:00,0,100
+917800000077,3,88.0,2026-07-01T05:44:14.618019+00:00,3,40
+919349773282,0,12.0,2026-07-01T05:44:14.618022+00:00,0,100
+918762134646,0,12.0,2026-07-01T05:44:14.618024+00:00,0,100
+918064263384,1,88.0,2026-07-01T05:44:14.618027+00:00,1,80
+919995828624,1,88.0,2026-07-01T05:44:14.618030+00:00,1,80
+917989634620,1,88.0,2026-07-01T05:44:14.618032+00:00,1,80
+919937041706,0,12.0,2026-07-01T05:44:14.618035+00:00,0,100
+917800000033,3,88.0,2026-07-01T05:44:14.618038+00:00,3,40
+919252131125,1,88.0,2026-07-01T05:44:14.618040+00:00,1,80
+917941651723,1,88.0,2026-07-01T05:44:14.618043+00:00,1,80
+917527307971,0,12.0,2026-07-01T05:44:14.618062+00:00,0,100
+917666291147,0,12.0,2026-07-01T05:44:14.618065+00:00,0,100
+918043679914,1,88.0,2026-07-01T05:44:14.618067+00:00,1,80
+919539712023,0,12.0,2026-07-01T05:44:14.618070+00:00,0,100
+918378294072,0,12.0,2026-07-01T05:44:14.618072+00:00,0,100
+918024697244,0,12.0,2026-07-01T05:44:14.618075+00:00,0,100
+916162576297,1,88.0,2026-07-01T05:44:14.618077+00:00,1,80
+916162507570,0,12.0,2026-07-01T05:44:14.618080+00:00,0,100
+919921889902,0,12.0,2026-07-01T05:44:14.618082+00:00,0,100
+916692816456,0,12.0,2026-07-01T05:44:14.618085+00:00,0,100
+917692005648,1,88.0,2026-07-01T05:44:14.618088+00:00,1,80
+916782912673,0,12.0,2026-07-01T05:44:14.618090+00:00,0,100
+919195207850,1,88.0,2026-07-01T05:44:14.618093+00:00,1,80
+917800000038,3,88.0,2026-07-01T05:44:14.618096+00:00,3,40
+917157116353,1,88.0,2026-07-01T05:44:14.618099+00:00,1,80
+916274200239,0,12.0,2026-07-01T05:44:14.618101+00:00,0,100
+919836289901,1,88.0,2026-07-01T05:44:14.618104+00:00,1,80
+918335017127,0,12.0,2026-07-01T05:44:14.618106+00:00,0,100
+917712977154,1,88.0,2026-07-01T05:44:14.618109+00:00,1,80
+916298062256,1,88.0,2026-07-01T05:44:14.618111+00:00,1,80
+918422841776,0,12.0,2026-07-01T05:44:14.618114+00:00,0,100
+917268655500,0,12.0,2026-07-01T05:44:14.618117+00:00,0,100
+918887785464,1,88.0,2026-07-01T05:44:14.618119+00:00,1,80
+919273369291,0,12.0,2026-07-01T05:44:14.618122+00:00,0,100
+919719892196,1,88.0,2026-07-01T05:44:14.618125+00:00,1,80
+918632416551,1,88.0,2026-07-01T05:44:14.618127+00:00,1,80
+918196067111,1,88.0,2026-07-01T05:44:14.618130+00:00,1,80
+917797400828,1,88.0,2026-07-01T05:44:14.618132+00:00,1,80
+918767999782,0,12.0,2026-07-01T05:44:14.618135+00:00,0,100
+919949079910,1,88.0,2026-07-01T05:44:14.618137+00:00,1,80
+916347398100,1,88.0,2026-07-01T05:44:14.618140+00:00,1,80
+919517055870,0,12.0,2026-07-01T05:44:14.618143+00:00,0,100
+919893569161,1,88.0,2026-07-01T05:44:14.618145+00:00,1,80
+918827069868,0,12.0,2026-07-01T05:44:14.618148+00:00,0,100
